Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,diamondminkvestwithfoxtrimmedhoodblack,Diamond Mink Vest with Fox Trimmed Hood - Black,"<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",Winter Fur,Fur,"size:Small,size:Medium,size:Large,size:XL,size:2XL,size:3XL,size:4XL,size:5XL,size:6XL,size:7XL,size:8XL,color:Black",TRUE,Size,Small,Color,Fur Black,,,WF-M49V02BK-Small,0,shopify,deny,manual,1100,,TRUE,TRUE,,https://static.thenounproject.com/png/3202261-200.png,1,Diamond Mink Vest with Fox Trimmed Hood - Black,FALSE,Brite Creations | Diamond Mink Vest with Fox Trimmed Hood - Black Fur.,"Shop at Brite Creations Atlanta for the best deal on Diamond Mink Vest with Fox Trimmed Hood - Black fur.
<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,Medium,,Fur Black,,,WF-M49V02BK-Medium,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,Large,,Fur Black,,,WF-M49V02BK-Large,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,XL,,Fur Black,,,WF-M49V02BK-XL,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,2XL,,Fur Black,,,WF-M49V02BK-2XL,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,3XL,,Fur Black,,,WF-M49V02BK-3XL,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,4XL,,Fur Black,,,WF-M49V02BK-4XL,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,5XL,,Fur Black,,,WF-M49V02BK-5XL,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,6XL,,Fur Black,,,WF-M49V02BK-6XL,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,7XL,,Fur Black,,,WF-M49V02BK-7XL,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestwithfoxtrimmedhoodblack,,,,,,,,8XL,,Fur Black,,,WF-M49V02BK-8XL,0,shopify,deny,manual,1100,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,Diamond Mink Vest - Black,"<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",Winter Fur,Fur,"size:Small,size:Medium,size:Large,size:XL,size:2XL,size:3XL,size:4XL,size:5XL,size:6XL,size:7XL,size:8XL,color:Black",TRUE,Size,Small,Color,Fur Black,,,WF-M49V03BK-Small,0,shopify,deny,manual,600,,TRUE,TRUE,,https://static.thenounproject.com/png/3202261-200.png,1,Diamond Mink Vest - Black,FALSE,Brite Creations | Diamond Mink Vest - Black Fur.,"Shop at Brite Creations Atlanta for the best deal on Diamond Mink Vest - Black fur.
<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,Medium,,Fur Black,,,WF-M49V03BK-Medium,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,Large,,Fur Black,,,WF-M49V03BK-Large,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,XL,,Fur Black,,,WF-M49V03BK-XL,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,2XL,,Fur Black,,,WF-M49V03BK-2XL,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,3XL,,Fur Black,,,WF-M49V03BK-3XL,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,4XL,,Fur Black,,,WF-M49V03BK-4XL,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,5XL,,Fur Black,,,WF-M49V03BK-5XL,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,6XL,,Fur Black,,,WF-M49V03BK-6XL,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,7XL,,Fur Black,,,WF-M49V03BK-7XL,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkvestblack,,,,,,,,8XL,,Fur Black,,,WF-M49V03BK-8XL,0,shopify,deny,manual,600,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack, Sculpted Mink Stroller - Black,"<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",Winter Fur,Fur,"size:Small,size:Medium,size:Large,size:XL,size:2XL,size:3XL,size:4XL,size:5XL,size:6XL,size:7XL,size:8XL,color:Black",TRUE,Size,Small,Color,Fur Black,,,WF-M69Q02BK-Small,0,shopify,deny,manual,1900,,TRUE,TRUE,,https://static.thenounproject.com/png/3202261-200.png,1, Sculpted Mink Stroller - Black,FALSE,Brite Creations |  Sculpted Mink Stroller - Black Fur.,"Shop at Brite Creations Atlanta for the best deal on  Sculpted Mink Stroller - Black fur.
<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,Medium,,Fur Black,,,WF-M69Q02BK-Medium,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,Large,,Fur Black,,,WF-M69Q02BK-Large,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,XL,,Fur Black,,,WF-M69Q02BK-XL,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,2XL,,Fur Black,,,WF-M69Q02BK-2XL,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,3XL,,Fur Black,,,WF-M69Q02BK-3XL,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,4XL,,Fur Black,,,WF-M69Q02BK-4XL,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,5XL,,Fur Black,,,WF-M69Q02BK-5XL,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,6XL,,Fur Black,,,WF-M69Q02BK-6XL,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,7XL,,Fur Black,,,WF-M69Q02BK-7XL,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,sculptedminkstrollerblack,,,,,,,,8XL,,Fur Black,,,WF-M69Q02BK-8XL,0,shopify,deny,manual,1900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,Full Skin Chinchilla Jacket - Green ,"<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",Winter Fur,Fur,"size:Small,size:Medium,size:Large,size:XL,size:2XL,size:3XL,size:4XL,size:5XL,size:6XL,size:7XL,size:8XL,color:Green ",TRUE,Size,Small,Color,Fur Green ,,,WF-M16R01GN-Small,0,shopify,deny,manual,7900,,TRUE,TRUE,,https://static.thenounproject.com/png/3202261-200.png,1,Full Skin Chinchilla Jacket - Green ,FALSE,Brite Creations | Full Skin Chinchilla Jacket - Green  Fur.,"Shop at Brite Creations Atlanta for the best deal on Full Skin Chinchilla Jacket - Green  fur.
<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,Medium,,Fur Green ,,,WF-M16R01GN-Medium,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,Large,,Fur Green ,,,WF-M16R01GN-Large,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,XL,,Fur Green ,,,WF-M16R01GN-XL,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,2XL,,Fur Green ,,,WF-M16R01GN-2XL,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,3XL,,Fur Green ,,,WF-M16R01GN-3XL,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,4XL,,Fur Green ,,,WF-M16R01GN-4XL,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,5XL,,Fur Green ,,,WF-M16R01GN-5XL,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,6XL,,Fur Green ,,,WF-M16R01GN-6XL,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,7XL,,Fur Green ,,,WF-M16R01GN-7XL,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,fullskinchinchillajacketgreen,,,,,,,,8XL,,Fur Green ,,,WF-M16R01GN-8XL,0,shopify,deny,manual,7900,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,Squared Chinchilla Jacket - Natural,"<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",Winter Fur,Fur,"size:Small,size:Medium,size:Large,size:XL,size:2XL,size:3XL,size:4XL,size:5XL,size:6XL,size:7XL,size:8XL,color:Natural",TRUE,Size,Small,Color,Fur Natural,,,WF-M06R01CH-Small,0,shopify,deny,manual,5000,,TRUE,TRUE,,https://static.thenounproject.com/png/3202261-200.png,1,Squared Chinchilla Jacket - Natural,FALSE,Brite Creations | Squared Chinchilla Jacket - Natural Fur.,"Shop at Brite Creations Atlanta for the best deal on Squared Chinchilla Jacket - Natural fur.
<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,Medium,,Fur Natural,,,WF-M06R01CH-Medium,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,Large,,Fur Natural,,,WF-M06R01CH-Large,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,XL,,Fur Natural,,,WF-M06R01CH-XL,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,2XL,,Fur Natural,,,WF-M06R01CH-2XL,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,3XL,,Fur Natural,,,WF-M06R01CH-3XL,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,4XL,,Fur Natural,,,WF-M06R01CH-4XL,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,5XL,,Fur Natural,,,WF-M06R01CH-5XL,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,6XL,,Fur Natural,,,WF-M06R01CH-6XL,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,7XL,,Fur Natural,,,WF-M06R01CH-7XL,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,squaredchinchillajacketnatural,,,,,,,,8XL,,Fur Natural,,,WF-M06R01CH-8XL,0,shopify,deny,manual,5000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkchoppedjacketwhite,Diamond Mink Chopped Jacket - White,"<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",Winter Fur,Fur,"size:Small,size:Medium,size:Large,size:XL,size:2XL,size:3XL,size:4XL,size:5XL,size:6XL,size:7XL,size:8XL,color:White",TRUE,Size,Small,Color,Fur White,,,WF-M49S08WT-Small,0,shopify,deny,manual,1400,,TRUE,TRUE,,https://static.thenounproject.com/png/3202261-200.png,1,Diamond Mink Chopped Jacket - White,FALSE,Brite Creations | Diamond Mink Chopped Jacket - White Fur.,"Shop at Brite Creations Atlanta for the best deal on Diamond Mink Chopped Jacket - White fur.
<a href=""https://britecreations.com/pages/about"">Brite Creations</a> luxurious winter fur contains the best quality and responsibly sourced genuine mink, fox, and chinchilla fur.  Winter fur items are fulfilled based on in-store availability. Depending on the style and size, your order may take between 1-6 weeks. All fur is customizable; please <a href=""https://britecreations.com/pages/contact-us"">contact us</a> for custom colors, sizes, and styles. You will be updated via email and phone number regarding the status of your order. ",,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkchoppedjacketwhite,,,,,,,,Medium,,Fur White,,,WF-M49S08WT-Medium,0,shopify,deny,manual,1400,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkchoppedjacketwhite,,,,,,,,Large,,Fur White,,,WF-M49S08WT-Large,0,shopify,deny,manual,1400,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkchoppedjacketwhite,,,,,,,,XL,,Fur White,,,WF-M49S08WT-XL,0,shopify,deny,manual,1400,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkchoppedjacketwhite,,,,,,,,2XL,,Fur White,,,WF-M49S08WT-2XL,0,shopify,deny,manual,1400,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkchoppedjacketwhite,,,,,,,,3XL,,Fur White,,,WF-M49S08WT-3XL,0,shopify,deny,manual,1400,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkchoppedjacketwhite,,,,,,,,4XL,,Fur White,,,WF-M49S08WT-4XL,0,shopify,deny,manual,1400,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkchoppedjacketwhite,,,,,,,,5XL,,Fur White,,,WF-M49S08WT-5XL,0,shopify,deny,manual,1400,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
,diamondminkchoppedjacketwhite,,,,,,,,6XL,,Fur White,,,WF-M49S08WT-6XL,0,shopify,deny,manual,1400,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://static.thenounproject.com/png/3202261-200.png,lb,,
